Issue Type,Summary,Epic Link,Description,Priority,Story Points
Story,"[AS-US01] As an After-Sales Specialist, I want to create a new After-Sales Ticket by searching or scanning the customer profile so that the repair request is linked to the correct client record.",After-Sales Specialist/E1 — Smart Intake & Diagnostics,"*Acceptance Criteria:*
Customer can be searched by name, phone, email, or client ID; selected customer details auto-fill in the AST; VIP/client tier is visible; AST cannot be created without a linked customer or approved guest profile.

*Business Value:*
Reduces manual entry, prevents wrong customer mapping, and gives the specialist full client context from the beginning.

*MoSCoW:*
Must Have",Highest,5
Story,"[AS-US02] As an After-Sales Specialist, I want to identify the product using serial number, barcode, or Product Digital Twin lookup so that I can load product details automatically.",After-Sales Specialist/E1 — Smart Intake & Diagnostics,"*Acceptance Criteria:*
Product can be searched/scanned by serial number or barcode; system loads product name, SKU, purchase date, warranty status, and previous service history; invalid serial shows a clear error; manual fallback is available with approval.

*Business Value:*
Ensures the repair is linked to the correct luxury item and avoids duplicate or incorrect service records.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US03] As an After-Sales Specialist, I want to capture multiple condition photos during intake so that the item’s physical state is documented before repair starts.",After-Sales Specialist/E1 — Smart Intake & Diagnostics,"*Acceptance Criteria:*
Minimum 2 photos are required before AST submission; photos are timestamped and linked to the ticket; user can tag photo angle/type; photos are visible in the ticket detail and Product Digital Twin timeline.

*Business Value:*
Prevents disputes by creating visual proof of the item’s condition at intake.

*MoSCoW:*
Must Have",Highest,5
Story,"[AS-US04] As an After-Sales Specialist, I want AI-assisted condition analysis to detect scratches, cracks, discoloration, dents, or missing parts so that diagnostics are faster and more consistent.",After-Sales Specialist/E1 — Smart Intake & Diagnostics,"*Acceptance Criteria:*
AI analysis runs on captured photos; detected issues are shown with confidence score and severity; specialist can accept, edit, or reject AI findings; final condition report is saved to the AST.

*Business Value:*
Improves diagnostic consistency and gives the product a premium, intelligent service experience.

*MoSCoW:*
Should Have",High,13
Story,"[AS-US05] As an After-Sales Specialist, I want to validate warranty status during intake so that I can determine whether the service is covered, chargeable, or needs manager review.",After-Sales Specialist/E1 — Smart Intake & Diagnostics,"*Acceptance Criteria:*
Warranty status is shown as Active, Expired, Extended, or Void; warranty expiry date is visible; system indicates covered/not covered; exceptions can be escalated for approval.

*Business Value:*
Prevents incorrect repair charges and improves customer trust during service intake.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US06] As an After-Sales Specialist, I want to add diagnostic notes, issue category, severity, and priority so that the repair team has complete service context.",After-Sales Specialist/E1 — Smart Intake & Diagnostics,"*Acceptance Criteria:*
Issue category and severity are mandatory; notes support text and voice-to-text input; priority can be Normal, High, or Urgent; SLA deadline is calculated based on service type and priority.

*Business Value:*
Improves repair planning and ensures the right urgency is assigned to every service case.

*MoSCoW:*
Must Have",Highest,5
Story,"[AS-US07] As an After-Sales Specialist, I want the system to generate a unique human-readable AST number so that every repair can be easily tracked by staff and customers.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
Ticket number follows format such as AST-YYYY-STORE-NNNNN; duplicate ticket numbers are not allowed; ticket number appears on all repair documents, notifications, and customer portal links.

*Business Value:*
Makes repair tracking simple, professional, and consistent across stores.

*MoSCoW:*
Must Have",Highest,3
Story,"[AS-US08] As an After-Sales Specialist, I want to create an itemized repair estimate with labor, parts, tax, and expected completion date so that the customer can clearly understand the repair cost.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
Estimate includes labor, parts, tax, discount if applicable, total cost, and expected completion date; total is auto-calculated; estimate can be previewed before sending; estimate is linked to the AST.

*Business Value:*
Makes repair pricing transparent and reduces back-and-forth communication.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US09] As an After-Sales Specialist, I want to send repair estimates for customer approval so that repair work begins only after the customer accepts the cost and scope.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
Estimate can be sent through secure link, email, SMS, or app notification; approval status updates to Pending, Approved, Rejected, or Expired; repair cannot proceed to chargeable work without approval.

*Business Value:*
Protects the business from disputes and gives customers control over repair decisions.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US10] As an After-Sales Specialist, I want to allocate required parts from inventory so that the repair can proceed only when parts are available or reserved.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
Required parts can be searched and added; system shows availability, quantity, and location; unavailable parts trigger backorder or transfer request; allocated parts are reserved against the AST.

*Business Value:*
Reduces repair delays caused by missing parts and connects After-Sales with Inventory.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US11] As an After-Sales Specialist, I want to update repair stages such as inspection, estimate, approval, parts allocation, repair started, repair completed, QA, and ready for pickup so that everyone knows the exact repair status.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
Repair stage follows a controlled sequence; each stage update records timestamp and staff ID; skipped critical stages are blocked; stage history is visible in timeline view.

*Business Value:*
Gives complete operational visibility and prevents uncontrolled repair handling.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US12] As an After-Sales Specialist, I want to complete a mandatory QA checklist before closing the repair so that quality is verified before the item is returned.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
QA checklist must be fully completed before marking repair complete; failed QA sends ticket back to repair stage; QA result includes inspector, timestamp, notes, and after-repair photos.

*Business Value:*
Protects luxury service quality and reduces repeat repairs or customer complaints.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US13] As an After-Sales Specialist, I want automated customer notifications for major repair milestones so that customers stay informed without manual calls.","After-Sales Specialist/E3 — Customer Communication, Approval & Payment","*Acceptance Criteria:*
Customer receives notifications for ticket created, estimate ready, approval received, repair started, repair completed, QA passed, and ready for pickup; communication log is saved in AST; failed notifications are flagged.

*Business Value:*
Improves customer experience and reduces manual follow-up workload.

*MoSCoW:*
Must Have",Highest,8
